id,title,publishedAt,guest,episode,topics,tags,duration,viewCount,likeCount,commentCount
Ui38ZzTymDY,Jay McClelland: Neural Networks and the Emergence of Cognition | Lex Fridman Podcast #222,2021-09-20T05:27:04Z,Jay McClelland,222,Neural Networks and the Emergence of Cognition,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,back propogation,jay mcclelland,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,neural networks,parallel distributed processing,psychiatry,psychology",2hr 31min 58s,153373,2889,144
3wMKoSRbGVs,Douglas Lenat: Cyc and the Quest to Solve Common Sense Reasoning in AI | Lex Fridman Podcast #221,2021-09-15T16:39:04Z,Douglas Lenat,221,Cyc and the Quest to Solve Common Sense Reasoning in AI,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,computer science,cyc,cycorp,douglas lenat,lex ai,lex fridman,lex jre,lex mit,lex podcast,machine learning,mit ai,stanford,stanford university",2hr 52min 56s,119507,2179,246
hZenJc1fa70,Niels Jorgensen: New York Firefighters and the Heroes of 9/11 | Lex Fridman Podcast #220,2021-09-11T21:14:02Z,Niels Jorgensen,220,New York Firefighters and the Heroes of 9/11,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,niels jorgensen",2hr 44min 9s,130091,4591,544
EE1R8FYUJm0,"Donald Knuth: Programming, Algorithms, Hard Problems & the Game of Life | Lex Fridman Podcast #219",2021-09-09T17:06:37Z,Donald Knuth,219,"Programming, Algorithms, Hard Problems & the Game of Life","acm turing award,agi,ai,ai podcast,algorithms,artificial intelligence,artificial intelligence podcast,computer programming,computer science,donald knuth,lex ai,lex fridman,lex jre,lex mit,lex podcast,literate programming,mathematics,mit ai,open source,stanford,tex",2hr 21min 27s,205650,5895,336
Fx0G6DHMfXM,"Jaron Lanier: Virtual Reality, Social Media & the Future of Humans and AI | Lex Fridman Podcast #218",2021-09-06T20:31:36Z,Jaron Lanier,218,"Virtual Reality, Social Media & the Future of Humans and AI","Beethoven,agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,augmented reality,consciousness,facebook,hololens,jack dorsey,jaron lanier,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,music,oculus rift,physics,quantum physics,social media,twitter,universe,virtual reality",1hr 52min 30s,516842,14090,1513
nre0QT9LN6w,Rodney Brooks: Robotics | Lex Fridman Podcast #217,2021-09-03T21:35:56Z,Rodney Brooks,217,Robotics,"afghanistan robots,agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,baxter robot,domo robot,irobot,lex ai,lex fridman,lex jre,lex mit,lex podcast,mit ai,mit robotics,rethink robotics,robot deployment,robotics,robust.ai,rodney brooks,sawyer robot",2hr 24min 52s,152048,2772,214
G433fa01oMU,Vincent Racaniello: Viruses and Vaccines | Lex Fridman Podcast #216,2021-09-01T17:41:23Z,Vincent Racaniello,216,Viruses and Vaccines,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,biology,covid,fauci,influenza,lex ai,lex fridman,lex jre,lex mit,lex podcast,masks,mit ai,mrna,pandemic,sars cov2,tests,this week in virology,twiv,vaccine,vaccines,vector vaccine,vincent racaniello,viral,virology,virus",3hr 28min 41s,637873,14997,2532
U5OD8MjYnOM,"Wojciech Zaremba: OpenAI Codex, GPT-3, Robotics, and the Future of AI | Lex Fridman Podcast #215",2021-08-29T17:41:21Z,Wojciech Zaremba,215,"OpenAI Codex, GPT-3, Robotics, and the Future of AI","agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,codex,consciousness,copilot,deep learning,gpt,ilya sutskever,intelligence,lex ai,lex fridman,lex jre,lex mit,lex podcast,machine learning,meditation,mit ai,openai,productivity,sam altman,sleep,wojciech zaremba",2hr 51min 33s,268169,5475,483
TRdL6ZzWBS0,Jed Buchwald: Isaac Newton and the Philosophy of Science | Lex Fridman Podcast #214,2021-08-27T21:12:28Z,Jed Buchwald,214,Isaac Newton and the Philosophy of Science,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,caltech,classic mechanics,einstein,feynman,general relativity,jed buchwald,lex ai,lex fridman,lex jre,lex mit,lex physics,lex podcast,mit ai,physics,quantum mechanics,thomas kuhn",1hr 52min 17s,166987,3559,258
J48bm21q8_A,Barry Barish: Gravitational Waves and the Most Precise Device Ever Built | Lex Fridman Podcast #213,2021-08-23T19:19:46Z,Barry Barish,213,Gravitational Waves and the Most Precise Device Ever Built,"agi,ai,ai podcast,artificial intelligence,artificial intelligence podcast,barry barish,california institute of technology,caltech,experimental physics,gravitational waves,laser interferometer gravitational-wave observatory,lex ai,lex fridman,lex jre,lex mit,lex podcast,ligo,mit ai,nobel laureate,nobel prize",2hr 22min 56s,293738,4938,483
